Date,PG,^GSPC,MSFT,AAPL,AC.TO,SU,BA,WMT,TD,ABT
2019-06-25,109.6454468,2917.379883,132.1751404,193.7866669,39.5,30.36602974,362.7420044,109.2024765,55.73495102,83.23705292
2019-06-26,107.6924057,2913.780029,132.6704407,197.9780884,39.36000061,30.42384911,368.2619019,108.6501617,55.86955261,81.97229767
2019-06-27,107.7414703,2924.919922,132.8883667,197.9186401,40.59999847,29.96127701,357.5364075,108.5909729,55.85993576,82.69361115
2019-06-28,107.613884,2941.76001,132.7001801,196.1152191,39.68999863,30.02873421,357.5265808,108.9756241,56.10991669,83.09872437
2019-07-01,108.4382858,2964.330078,134.4039917,199.7121429,,30.4527607,350.111084,109.1038513,56.34066391,83.48408508
2019-07-02,109.4099121,2973.01001,135.295517,200.8813629,40.59999847,30.03837204,347.8520508,110.0704117,56.50410843,83.93860626
2019-07-03,111.9616241,2995.820068,136.1672516,202.546051,41.06000137,30.15401649,348.1564941,110.7805405,57.00405884,84.62039185
2019-07-05,111.0488968,2990.409912,135.7710114,202.3676758,41.72999954,30.30820847,349.5217285,110.4452133,57.11943436,84.40300751
2019-07-08,111.9321823,2975.949951,135.6719513,198.1960754,41.49000168,30.23111343,344.8661804,111.1750641,56.8406105,84.07694244
2019-07-09,110.8133545,2979.629883,135.1766663,199.4049683,40.75999832,30.94424438,346.8011169,111.3328705,56.9769249,84.25479889
2019-07-10,111.6377563,2993.070068,136.5536041,201.3768158,41.75999832,31.24298859,346.0251465,111.4315033,56.87955475,84.36348724
2019-07-11,112.2560501,2999.909912,137.0984039,199.9103088,41.88000107,31.2815361,352.605835,112.3586197,57.19112015,84.74884033
2019-07-12,112.8547211,3013.77002,137.5937042,201.4461823,42.50999832,31.10807228,358.8230896,113.0292969,57.17164993,83.23139191
2019-07-15,113.3356323,3014.300049,137.5937042,203.3387604,42.86999893,31.01170349,355.169342,113.4040909,57.10349655,83.12229919
2019-07-16,113.7380066,3004.040039,135.7908173,202.6352234,43.34999847,30.41421318,356.289032,113.1871109,57.11322784,82.47763824
2019-07-17,113.7870865,2984.419922,134.9884491,201.4957123,43.45000076,30.26002121,362.9384766,113.0292969,57.25927734,85.0562973
2019-07-18,114.0299835,2995.110107,135.1370392,203.7846527,44.31999969,30.0576458,354.6782227,113.1476593,57.53189087,87.0398941
2019-07-19,113.6052399,2976.610107,135.335144,200.7426453,44.20999908,30.01909828,370.6387939,112.3388977,57.2397995,86.77210236
2019-07-22,113.8916931,2985.030029,137.1281128,205.3304291,44.09999847,30.02873421,366.769043,111.2736969,57.08402252,87.34734344
